calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
5300,-0.003014068974427568,0.00961423918948529,-0.003014068974427568,-0.003014068974427568,0.00961423918948529,0.00961423918948529,-0.015996237191788422,-0.06047646535934227,-3.2451575100641837E-10,-0.015819716003472938,-0.015488500123910471,-0.059809097315072994,-0.05855687997003973,-3.2093466469793633E-10,-3.1421528634584226E-10,1.097307653890253
5400,-0.003017547914303794,0.009602097941098038,-0.003017547914303794,-0.003017547914303794,0.009602097941098038,0.009602097941098038,-0.015966946097249735,-0.06053095769862781,-3.2686809683989434E-10,-0.015790664803627136,-0.015461027709257344,-0.05986267238831622,-0.05861301269173634,-3.232593459489009E-10,-3.1651116448525553E-10,1.0975953404740177
5500,-0.003021036075904877,0.009589997450771697,-0.003021036075904877,-0.003021036075904877,0.009589997450771697,0.009589997450771697,-0.01593778305585972,-0.06058551636666372,-3.292442793770982E-10,-0.01576174031495876,-0.015433674226663979,-0.059916311601941684,-0.058669208834130876,-3.256075712374303E-10,-3.188303499356906E-10,1.0978830023055604
5600,-0.0030245334862032004,0.009577937467960937,-0.0030245334862032004,-0.0030245334862032004,0.009577937467960937,0.009577937467960937,-0.015908747382423927,-0.060640141655805065,-3.316445946460497E-10,-0.01573294185808519,-0.015406439052300236,-0.059970015237709305,-0.05872546870504567,-3.2797963282006255E-10,-3.211731327184279E-10,1.0981706438192456
5700,-0.003028040172381966,0.009565917743072125,-0.003028040172381966,-0.003028040172381966,0.009565917743072125,0.009565917743072125,-0.015879838395813643,-0.06069483385876096,-3.340693429413847E-10,-0.0157042687576518,-0.015379321565964813,-0.06002378357768977,-0.05878179261274947,-3.303758271637527E-10,-3.2353980704114634E-10,1.0984582694432992
5800,-0.003031556161834236,0.009553938027455265,-0.003031556161834236,-0.003031556161834236,0.009553938027455265,0.009553938027455265,-0.015851055418945263,-0.060749593268591195,-3.3651882892854117E-10,-0.015675720342311503,-0.015352321151067784,-0.06007761690426106,-0.05883818086595375,-3.32796455048732E-10,-3.25930671399796E-10,1.0987458835999595
5900,-0.00303508148216239,0.009541998073396014,-0.00303508148216239,-0.00303508148216239,0.009541998073396014,0.009541998073396014,-0.0158223977787595,-0.06080442017870432,-3.389933616629787E-10,-0.015647295944704147,-0.01532543719461299,-0.06013151550010648,-0.05889463377381039,-3.35241821587336E-10,-3.2834602859820277E-10,1.0990334907056316
6000,-0.0030386161611771303,0.009530097634107913,-0.0030386161611771303,-0.0030386161611771303,0.009530097634107913,0.009530097634107913,-0.01579386480620079,-0.06085931488285594,-3.414932547064906E-10,-0.015618994901436119,-0.015298669087180578,-0.06018547964821281,-0.058951151645909576,-3.377122363388485E-10,-3.307861858617237E-10,1.0993210951710453
6100,-0.0030421602268968623,0.0095182364637243,-0.0030421602268968623,-0.0030421602268968623,0.0095182364637243,0.0095182364637243,-0.015765455836196613,-0.060914277675146525,-3.440188261817061E-10,-0.015590816553059817,-0.015272016222909465,-0.06023950963186806,-0.059007734792277264,-3.4020801336321487E-10,-3.3325145489106076E-10,1.0996087014014078
6200,-0.003045713707546868,0.009506414317290142,-0.003045713707546868,-0.003045713707546868,0.009506414317290142,0.009506414317290142,-0.01573717020763685,-0.060969308850019076,-3.465703988340434E-10,-0.015562760244053217,-0.015245477999479812,-0.06029360573465905,-0.059064383523372566,-3.4272947128212057E-10,-3.35742151923307E-10,1.0998963137965607
6300,-0.0030492766315584475,0.009494630950754241,-0.0030492766315584475,-0.0030492766315584475,0.009494630950754241,0.009494630950754241,-0.015709007263353086,-0.061024408702257484,-3.491483001419466E-10,-0.01553482532279935,-0.015219053818095424,-0.06034776824046966,-0.059121098150085725,-3.452769333878146E-10,-3.3825859783978536E-10,1.1001839367511357
6400,-0.00305284902756824,0.009482886120961383,-0.00305284902756824,-0.00305284902756824,0.009482886120961383,0.009482886120961383,-0.015680966350098174,-0.061079577526984286,-3.517528623406483E-10,-0.015507011141566053,-0.015192743083466376,-0.060401997433478516,-0.059177878983735534,-3.4785072766641284E-10,-3.40801118190138E-10,1.1004715746547102
6500,-0.003056430924417213,0.009471179585643853,-0.003056430924417213,-0.003056430924417213,0.009471179585643853,0.009471179585643853,-0.015653046818525543,-0.061134815619658625,-3.5438442257902043E-10,-0.015479317056485465,-0.015166545203791421,-0.060456293598156886,-0.059234726336067106,-3.504511869528101E-10,-3.4337004334537084E-10,1.100759231891964
6600,-0.0030600223511501566,0.009459511103413849,-0.0030600223511501566,-0.0030600223511501566,0.009459511103413849,0.009459511103413849,-0.015625248023168677,-0.061190123276074385,-3.5704332289098E-10,-0.015451742427533676,-0.015140459590740481,-0.06051065701926668,-0.05929164051924961,-3.530786489021996E-10,-3.4596570847125247E-10,1.1010469128428353
6700,-0.0030636233370143298,0.009447880433755457,-0.0030636233370143298,-0.0030636233370143298,0.009447880433755457,0.009447880433755457,-0.01559756932242062,-0.06124550079235802,-3.5972991038918193E-10,-0.015424286618510455,-0.01511448565943719,-0.060565087981858334,-0.05934862184587386,-3.557334561814102E-10,-3.4858845371710235E-10,1.1013346218826794
6800,-0.003067233911459071,0.009436287337016378,-0.003067233911459071,-0.003067233911459071,0.009436287337016378,0.009436287337016378,-0.015570010078513538,-0.06130094846496708,-3.624445372657733E-10,-0.015396948997018961,-0.015088622828441475,-0.06061958677126911,-0.05940567062895061,-3.5841595646943994E-10,-3.5123862421766374E-10,1.1016223633824245
6900,-0.0030708541041347542,0.009424731574400049,-0.0030708541041347542,-0.0030708541041347542,0.009424731574400049,0.009424731574400049,-0.015542569657498223,-0.0613564665906873,-3.651875609172854E-10,-0.015369728934445456,-0.015062870519732045,-0.060674153673120214,-0.059462787181907374,-3.611265025807465E-10,-3.539165702152786E-10,1.101910141708728
7000,-0.0030744839448918595,0.009413212907957538,-0.0030744839448918595,-0.0030744839448918595,0.009413212907957538,0.009413212907957538,-0.015515247429223611,-0.06141205546663179,-3.6795934401959004E-10,-0.015342625805939007,-0.015037228158688899,-0.06072878897331589,-0.059519971818587404,-3.638654525391512E-10,-3.5662264713370107E-10,1.1021979612241373
7100,-0.003078123463780128,0.009401731100579768,-0.003078123463780128,-0.003078123463780128,0.009401731100579768,0.009401731100579768,-0.01548804276731659,-0.06146771539023817,-3.7076025458997414E-10,-0.015315638990391485,-0.015011695174076065,-0.06078349295804053,-0.05957722485324655,-3.6663316963900076E-10,-3.5935721563944457E-10,1.102485826287245
7200,-0.00308177269104775,0.009390285915989248,-0.00308177269104775,-0.00308177269104775,0.009390285915989248,0.009390285915989248,-0.015460955049161491,-0.0615234466592672,-3.7359066613759504E-10,-0.015288767870417243,-0.014986270998024057,-0.06083826591375718,-0.0596345466005517,-3.6943002259372125E-10,-3.621206417888118E-10,1.1027737412528493
7300,-0.003085431657140172,0.009378877118731949,-0.003085431657140172,-0.003085431657140172,0.009378877118731949,0.009378877118731949,-0.015433983655879875,-0.061579249571800825,-3.764509576689951E-10,-0.015262011832333095,-0.014960955066012586,-0.06089310812720558,-0.059691937375578714,-3.7225638554104E-10,-3.649132970344696E-10,1.103061710472112
7400,-0.0030891003926994754,0.009367504474169673,-0.0030891003926994754,-0.0030891003926994754,0.009367504474169673,0.009367504474169673,-0.015407127972310322,-0.06163512442623984,-3.793415138625576E-10,-0.015235370266138295,-0.014935746816853227,-0.06094801988539977,-0.05974939749380974,-3.7511263821526284E-10,-3.6773555839579305E-10,1.1033497382927169
7500,-0.003092778928563082,0.009356167748471415,-0.003092778928563082,-0.003092778928563082,0.009356167748471415,0.009356167748471415,-0.015380387386988081,-0.061691071521302265,-3.8226272510451776E-10,-0.015208842565494384,-0.014910645692672,-0.06100300147562645,-0.0598069272711316,-3.7799916598264377E-10,-3.7058780849504463E-10,1.1036378290590276
7600,-0.0030964672957631604,0.009344866708605959,-0.0030964672957631604,-0.0030964672957631604,0.009344866708605959,0.009344866708605959,-0.015353761292125092,-0.06174709115602149,-3.852149876033832E-10,-0.015182428127705393,-0.014885651138892222,-0.061058053185442974,-0.05986452702383362,-3.8091635995428497E-10,-3.7347043566957756E-10,1.1039259871122515
7700,-0.0031001655255252195,0.009333601122333474,-0.0031001655255252195,-0.0031001655255252195,0.009333601122333474,0.009333601122333474,-0.0153272490835897,-0.06180318362974413,-3.8819870348128516E-10,-0.015156126353697763,-0.0148607626042171,-0.06111317530267533,-0.05992219706860542,-3.8386461707622033E-10,-3.763838340617049E-10,1.104214216790594
7800,-0.003103873649267552,0.009322370758197392,-0.003103873649267552,-0.003103873649267552,0.009322370758197392,0.009322370758197392,-0.01530085016088664,-0.06185934924212838,-3.912142808954058E-10,-0.015129936648000507,-0.014835979540612547,-0.06116836811541629,-0.05997993772253517,-3.868443402492331E-10,-3.7932840373775434E-10,1.1045025224294225
7900,-0.0031075916985996953,0.009311175385516695,-0.0031075916985996953,-0.0031075916985996953,0.009311175385516695,0.009311175385516695,-0.015274563927137105,-0.06191558829314212,-3.942621340966872E-10,-0.015103858418725495,-0.014811301403290065,-0.06122363191202364,-0.06003774930310744,-3.8985593838665126E-10,-3.8230455074633985E-10,1.1047909083614267
8000,-0.0031113197053218374,0.009300014774377594,-0.0031113197053218374,-0.0031113197053218374,0.009300014774377594,0.009300014774377594,-0.015248389789058648,-0.06197190108306066,-3.973426835614193E-10,-0.015077891077547525,-0.014786727650689451,-0.06127896698111776,-0.060095632128200974,-3.9289982654420135E-10,-3.8531268724732033E-10,1.1050793789167765
8100,-0.0031150577014234957,0.009288888695625505,-0.0031150577014234957,-0.0031150577014234957,0.009288888695625505,0.009288888695625505,-0.015222327156945346,-0.062028287912464695,-4.004563560815907E-10,-0.015052034039684699,-0.014762257744461747,-0.061334373611579694,-0.0601535865160865,-3.9597642600908146E-10,-3.8835323160080327E-10,1.1053679384232853
